store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;RW-SS14-0236POWDER;;Habilitado;Not Visible Individually;110770;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;36;POWDER;1107702;;;;141;RW-SS14-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;F;STANDARD;4;2863.64;30/12/99;30/12/99;.00;1.00;1;10/07/14;09/08/14;1;2863.64;1431.40;-1602731157
admin;base;0;simple;Default;;;RW-SS14-0238POWDER;;Habilitado;Not Visible Individually;110770;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;38;POWDER;;;;;141;RW-SS14-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;F;STANDARD;4;2863.64;30/12/99;30/12/99;.00;.00;1;;;1;2863.64;1431.40;1153937064
admin;base;0;simple;Default;;;RW-SS14-0238POWDER;;Habilitado;Not Visible Individually;110770;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;38;POWDER;;;;;141;RW-SS14-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;F;STANDARD;4;2863.64;30/12/99;30/12/99;.00;.00;1;;;1;2863.64;1431.40;1153937064
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0238POWDER,RW-SS14-0238POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1431.40;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0238POWDER,RW-SS14-0238POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1431.40;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0238POWDER,RW-SS14-0238POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1431.40;
admin;base;0;simple;Default;;;RW-SS12-0238NUDE;;Habilitado;Not Visible Individually;110772;VESTIDO LARGO MARIAH CAREY;VESTIDO LARGO MARIAH CAREY;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;38;NUDE;1107721;;;;141;RW-SS12-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey.jpg;;;MIKAEL D LONG DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey1.jpg;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey2.jpg;;;F;STANDARD;4;4170.25;30/12/99;30/12/99;.00;1.00;1;10/07/14;09/08/14;1;4170.25;2085.12;2138581852
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-02;RW-SS12-0238NUDE;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO MARIAH CAREY;VESTIDO LARGO MARIAH CAREY;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS12-02;;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey2.jpg;;;MIKAEL D LONG DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey1.jpg;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey2.jpg;;;;STANDARD;;4170.25;30/12/99;30/12/99;.00;;1;;;1;4170.25;2085.12;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-02;RW-SS12-0238NUDE;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO MARIAH CAREY;VESTIDO LARGO MARIAH CAREY;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS12-02;;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey1.jpg;;;MIKAEL D LONG DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey1.jpg;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey2.jpg;;;;STANDARD;;4170.25;30/12/99;30/12/99;.00;;1;;;1;4170.25;2085.12;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-02;RW-SS12-0238NUDE;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO MARIAH CAREY;VESTIDO LARGO MARIAH CAREY;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;;141;RW-SS12-02;;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey.jpg;;;MIKAEL D LONG DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey1.jpg;/media/import/fotosweb/mikael_d/142/vestido_largomariahcarey2.jpg;;;;STANDARD;;4170.25;30/12/99;30/12/99;.00;;1;;;1;4170.25;2085.12;
