store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;MINIFLIGHT B TOUNICATORT/COFF;;Habilitado;Not Visible Individually;92975;GAFAS DITA;GAFAS DITA;;;IVA AL 21%;4;3;2;;ANUAL;DITA EYEWEAR;UNICA;TORT/COFF;0929751;;;;1000;MINIFLIGHT B TO;;T;01/01/99;/media/import/fotosweb/gafas/1000/miniflight.jpg;;;DITA SUNGLASSES;;;/media/import/fotosweb/gafas/1000/miniflight_1.jpg;/media/import/fotosweb/gafas/1000/miniflight_2.jpg;;;F;OS;4;304.96;30/12/99;30/12/99;.00;1.00;1;14/04/11;14/05/11;1;304.96;152.89;2000539951
admin;base;1;configurable;Default;talla,color;4,3,2;MINIFLIGHT B TO;MINIFLIGHT B TOUNICATORT/COFF;Habilitado;Catálogo, Búsqueda;;GAFAS DITA;GAFAS DITA;;;IVA AL 21%;4;3;2;;ANUAL;DITA EYEWEAR;;;;;;;1000;MINIFLIGHT B TO;;;;/media/import/fotosweb/gafas/1000/miniflight_2.jpg;;;DITA SUNGLASSES;;;/media/import/fotosweb/gafas/1000/miniflight_1.jpg;/media/import/fotosweb/gafas/1000/miniflight_2.jpg;;;;OS;;304.96;30/12/99;30/12/99;.00;;1;;;1;304.96;152.89;
admin;base;1;configurable;Default;talla,color;4,3,2;MINIFLIGHT B TO;MINIFLIGHT B TOUNICATORT/COFF;Habilitado;Catálogo, Búsqueda;;GAFAS DITA;GAFAS DITA;;;IVA AL 21%;4;3;2;;ANUAL;DITA EYEWEAR;;;;;;;1000;MINIFLIGHT B TO;;;;/media/import/fotosweb/gafas/1000/miniflight_1.jpg;;;DITA SUNGLASSES;;;/media/import/fotosweb/gafas/1000/miniflight_1.jpg;/media/import/fotosweb/gafas/1000/miniflight_2.jpg;;;;OS;;304.96;30/12/99;30/12/99;.00;;1;;;1;304.96;152.89;
admin;base;1;configurable;Default;talla,color;4,3,2;MINIFLIGHT B TO;MINIFLIGHT B TOUNICATORT/COFF;Habilitado;Catálogo, Búsqueda;;GAFAS DITA;GAFAS DITA;;;IVA AL 21%;4;3;2;;ANUAL;DITA EYEWEAR;;;;;;;1000;MINIFLIGHT B TO;;;;/media/import/fotosweb/gafas/1000/miniflight.jpg;;;DITA SUNGLASSES;;;/media/import/fotosweb/gafas/1000/miniflight_1.jpg;/media/import/fotosweb/gafas/1000/miniflight_2.jpg;;;;OS;;304.96;30/12/99;30/12/99;.00;;1;;;1;304.96;152.89;
admin;base;0;simple;Default;;;LFL149C7SUNUNICAUNICO;;Habilitado;Not Visible Individually;95188;GAFAS LINDA FARROW;GAFAS LINDA FARROW;;;IVA AL 21%;4;3;1;;ANUAL;LINDA FARROW;UNICA;UNICO;0951881;;;;1000;LFL149C7SUN;;T;01/01/99;/media/import/fotosweb/gafas/1000/lfl149c7sun.jpg;;;LINDA FARROW SUNGLASSES;;;/media/import/fotosweb/gafas/1000/lfl149c7sun_1.jpg;;;;F;OS;4;404.96;20/02/15;31/12/50;197.52;1.00;1;27/02/12;28/03/12;1;404.96;197.52;947740352
admin;base;1;configurable;Default;talla,color;4,3,1;LFL149C7SUN;LFL149C7SUNUNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS LINDA FARROW;GAFAS LINDA FARROW;;;IVA AL 21%;4;3;1;;ANUAL;LINDA FARROW;;;;;;;1000;LFL149C7SUN;;;;;;;LINDA FARROW SUNGLASSES;;;/media/import/fotosweb/gafas/1000/lfl149c7sun_1.jpg;;;;;OS;;404.96;20/02/15;31/12/50;197.52;;1;;;1;404.96;197.52;
admin;base;1;configurable;Default;talla,color;4,3,1;LFL149C7SUN;LFL149C7SUNUNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS LINDA FARROW;GAFAS LINDA FARROW;;;IVA AL 21%;4;3;1;;ANUAL;LINDA FARROW;;;;;;;1000;LFL149C7SUN;;;;/media/import/fotosweb/gafas/1000/lfl149c7sun_1.jpg;;;LINDA FARROW SUNGLASSES;;;/media/import/fotosweb/gafas/1000/lfl149c7sun_1.jpg;;;;;OS;;404.96;20/02/15;31/12/50;197.52;;1;;;1;404.96;197.52;
admin;base;1;configurable;Default;talla,color;4,3,1;LFL149C7SUN;LFL149C7SUNUNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS LINDA FARROW;GAFAS LINDA FARROW;;;IVA AL 21%;4;3;1;;ANUAL;LINDA FARROW;;;;;;;1000;LFL149C7SUN;;;;/media/import/fotosweb/gafas/1000/lfl149c7sun.jpg;;;LINDA FARROW SUNGLASSES;;;/media/import/fotosweb/gafas/1000/lfl149c7sun_1.jpg;;;;;OS;;404.96;20/02/15;31/12/50;197.52;;1;;;1;404.96;197.52;
admin;base;0;simple;Default;;;4S9RA67CM09038NOIR;;Habilitado;Not Visible Individually;106721;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;38;NOIR;1067213;;;;141;4S9RA67CM090;;T;01/01/99;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;F;FR;4;2252.89;20/06/14;31/12/50;1126.45;.00;1;17/01/14;16/02/14;1;2252.89;676.03;574725238
admin;base;0;simple;Default;;;4S9RA67CM09040NOIR;;Habilitado;Not Visible Individually;106721;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;40;NOIR;1067212;;;;141;4S9RA67CM090;;T;01/01/99;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;F;FR;4;2252.89;20/06/14;31/12/50;1126.45;1.00;1;17/01/14;16/02/14;1;2252.89;676.03;1518212215
admin;base;0;simple;Default;;;4S9RA67CM09042NOIR;;Habilitado;Not Visible Individually;106721;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;42;NOIR;1067211;;;;141;4S9RA67CM090;;T;01/01/99;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;F;FR;4;2252.89;20/06/14;31/12/50;1126.45;1.00;1;31/01/14;02/03/14;1;2252.89;676.03;1477408372
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09038NOIR,4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09038NOIR,4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09038NOIR,4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;0;simple;Default;;;4S9R028CTL0636NOIR;;Habilitado;Not Visible Individually;106723;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;36;NOIR;1067232;;;;141;4S9R028CTL06;;T;01/01/99;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;F;FR;4;2964.46;20/06/14;31/12/50;1482.64;.00;1;03/02/14;05/03/14;1;2964.46;1482.64;-1451585660
admin;base;0;simple;Default;;;4S9R028CTL0638NOIR;;Habilitado;Not Visible Individually;106723;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;38;NOIR;1067231;;;;141;4S9R028CTL06;;T;01/01/99;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;F;FR;4;2964.46;20/06/14;31/12/50;1482.64;1.00;1;03/02/14;05/03/14;1;2964.46;1482.64;-1488621177
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
admin;base;0;simple;Default;;;VBS1C25 DBRONZEUNICADARKBRONZE;;Habilitado;Not Visible Individually;107775;GAFAS CLASSIC AVIATOR VICTORIA BECKHAM ;GAFAS CLASSIC AVIATOR VICTORIA BECKHAM ;;-1;IVA AL 21%;4;3;1;;ANUAL;VICTORIA BECKHAM;UNICA;DARKBRONZE;1077751;;;;1000;VBS1C25 DBRONZE;;F;01/01/99;/media/import/fotosweb/gafas/1000/vbs1c25.jpg;;;VICTORIA BECHKAM SUNGLASSES;90%MONEL 10% ACETATE;;;;;SLOT 58;F;OS;4;317.36;30/12/99;30/12/99;.00;1.00;1;04/03/14;03/04/14;1;317.36;.00;-1356951991
