store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;4S9RA67CM09040NOIR;;Habilitado;Not Visible Individually;106721;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;40;NOIR;1067212;;;;141;4S9RA67CM090;;F;01/01/99;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;F;FR;4;2252.89;20/06/14;31/12/50;1126.45;1.00;1;17/01/14;16/02/14;1;2252.89;676.03;1518212439
admin;base;0;simple;Default;;;4S9RA67CM09042NOIR;;Habilitado;Not Visible Individually;106721;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;42;NOIR;1067211;;;;141;4S9RA67CM090;;F;01/01/99;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;F;FR;4;2252.89;20/06/14;31/12/50;1126.45;1.00;1;31/01/14;02/03/14;1;2252.89;676.03;1477408596
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA67CM090;4S9RA67CM09040NOIR,4S9RA67CM09042NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO VOLANTE 3/4;VESTIDO VOLANTE 3/4;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9RA67CM090;;;;/media/import/fotosweb/alaia/142/vestido-volante-34_0.jpg;;;3/4 SLEEVES RUFFLE DRESS;78% VISCOSE 14% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-volante-34_1.jpg;/media/import/fotosweb/alaia/142/vestido-volante-34_2.jpg;;;;FR;;2252.89;20/06/14;31/12/50;1126.45;;1;;;1;2252.89;676.03;
admin;base;0;simple;Default;;;4S9R028CTL0636NOIR;;Habilitado;Not Visible Individually;106723;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;36;NOIR;1067232;;;;141;4S9R028CTL06;;F;01/01/99;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;F;FR;4;2964.46;20/06/14;31/12/50;1482.64;.00;1;03/02/14;05/03/14;1;2964.46;1482.64;-1451585884
admin;base;0;simple;Default;;;4S9R028CTL0638NOIR;;Habilitado;Not Visible Individually;106723;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;38;NOIR;1067231;;;;141;4S9R028CTL06;;F;01/01/99;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;F;FR;4;2964.46;20/06/14;31/12/50;1482.64;1.00;1;03/02/14;05/03/14;1;2964.46;1482.64;-1488621401
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9R028CTL06;4S9R028CTL0636NOIR,4S9R028CTL0638NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO LASER BOUQUET;VESTIDO LASER BOUQUET;;;IVA AL 21%;1;1;6;;PV14C;ALAIA;;;;;;;141;4S9R028CTL06;;;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_0.jpg;;;BOUQUET LASER DRESS;65% COTTON 35% POLYESTER;;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_1.jpg;/media/import/fotosweb/alaia/142/vestido-laser-bouquet_2.jpg;;;;FR;;2964.46;20/06/14;31/12/50;1482.64;;1;;;1;2964.46;1482.64;
