store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;RW-SS14-0236POWDER;;Habilitado;Not Visible Individually;110770;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;36;POWDER;1107702;;;SEASONAL;141;RW-SS14-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;F;STANDARD;4;2863.64;30/12/99;30/12/99;.00;.00;1;10/07/14;09/08/14;1;2863.64;1432.23;425180074
admin;base;0;simple;Default;;;RW-SS14-0236POWDER;;Habilitado;Not Visible Individually;110770;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;36;POWDER;1107702;;;SEASONAL;141;RW-SS14-02;;F;01/01/99;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;F;STANDARD;4;2863.64;30/12/99;30/12/99;.00;.00;1;10/07/14;09/08/14;1;2863.64;1432.23;425180074
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0236POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1432.23;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0236POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1432.23;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS14-02;RW-SS14-0236POWDER,RW-SS14-0236POWDER;Habilitado;Catálogo, Búsqueda;;VESTIDO CORTO OROS;VESTIDO CORTO OROS;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS14-02;;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros.jpg;;;GOLD SHORT DRESS;;;/media/import/fotosweb/mikael_d/142/vestido_cortooros1.jpg;/media/import/fotosweb/mikael_d/142/vestido_cortooros2.jpg;;;;STANDARD;;2863.64;30/12/99;30/12/99;.00;;1;;;1;2863.64;1432.23;
admin;base;0;simple;Default;;;RW-SS12-0342SILVER;;Habilitado;Not Visible Individually;107898;VESTIDO LARGO PLATA;VESTIDO LARGO PLATA;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;42;SILVER;1078981;;;SEASONAL;141;RW-SS12-03;;T;01/01/99;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_0.jpg;;;SILVER LONG DRESS;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_1.jpg;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_2.jpg;;;F;IT;4;2771.90;27/11/14;30/12/50;1940.50;.00;1;05/03/14;04/04/14;1;2771.90;1385.95;-1277240267
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-03;RW-SS12-0342SILVER;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO PLATA;VESTIDO LARGO PLATA;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS12-03;;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_2.jpg;;;SILVER LONG DRESS;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_1.jpg;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_2.jpg;;;;IT;;2771.90;27/11/14;30/12/50;1940.50;;1;;;1;2771.90;1385.95;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-03;RW-SS12-0342SILVER;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO PLATA;VESTIDO LARGO PLATA;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS12-03;;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_1.jpg;;;SILVER LONG DRESS;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_1.jpg;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_2.jpg;;;;IT;;2771.90;27/11/14;30/12/50;1940.50;;1;;;1;2771.90;1385.95;
admin;base;1;configurable;Default;talla,color;1,1,6;RW-SS12-03;RW-SS12-0342SILVER;Habilitado;Catálogo, Búsqueda;;VESTIDO LARGO PLATA;VESTIDO LARGO PLATA;;;IVA AL 21%;1;1;6;;PV14C;MIKAEL D;;;;;;SEASONAL;141;RW-SS12-03;;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_0.jpg;;;SILVER LONG DRESS;;;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_1.jpg;/media/import/fotosweb/mikael_d/141/mikael-d-141-002_2.jpg;;;;IT;;2771.90;27/11/14;30/12/50;1940.50;;1;;;1;2771.90;1385.95;
admin;base;0;simple;Default;;;G05024MTN41OH*UNICANE/ORO;;Habilitado;Not Visible Individually;114118;BRAZALETE SIGNATURE CUERO;BRAZALETE SIGNATURE CUERO;;;IVA AL 21%;2;5;1;;OI15P;VERSACE;UNICA;NE/ORO;1141181;;;PERMANENT;152;G05024MTN41OH*;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-177_0.jpg;;;SIGNATURE LEATHER BRACELET;100% Metal (Other);;/media/import/fotosweb/versace/152/versace_152-177_1.jpg;/media/import/fotosweb/versace/152/versace_152-177_2.jpg;;;F;OS;4;232.23;30/12/99;30/12/99;.00;.00;1;23/06/15;23/07/15;1;;;822957837
